Starting Fresh Llama-3.1-8B-Instruct 3-Epoch SFT on gpua063.delta.ncsa.illinois.edu at Sat Aug 22 06:15:29 CDT 2026
GPU allocated:
NVIDIA A100-SXM4-40GB, 40960 MiB
NVIDIA A100-SXM4-40GB, 40960 MiB
NVIDIA A100-SXM4-40GB, 40960 MiB
NVIDIA A100-SXM4-40GB, 40960 MiB
Hugging Face API token detected.
--- Loading CRTBP Dataset (crtbp_llm_dataset_20260822_031622.jsonl) ---
Hugging Face API token detected.
--- Loading CRTBP Dataset (crtbp_llm_dataset_20260822_031622.jsonl) ---
Hugging Face API token detected.
--- Loading CRTBP Dataset (crtbp_llm_dataset_20260822_031622.jsonl) ---
Hugging Face API token detected.
--- Loading CRTBP Dataset (crtbp_llm_dataset_20260822_031622.jsonl) ---
--- Formatting Chat Templates ---
--- Formatting Chat Templates ---
--- Formatting Chat Templates ---
--- Formatting Chat Templates ---
--- Loading Base Model in Native bfloat16: meta-llama/Llama-3.1-8B-Instruct ---
--- Loading Base Model in Native bfloat16: meta-llama/Llama-3.1-8B-Instruct ---
--- Loading Base Model in Native bfloat16: meta-llama/Llama-3.1-8B-Instruct ---
--- Loading Base Model in Native bfloat16: meta-llama/Llama-3.1-8B-Instruct ---
{'loss': 0.3022, 'grad_norm': 0.2998359203338623, 'learning_rate': 0.0001710045662100457, 'entropy': 0.3034394532442093, 'num_tokens': 49152000.0, 'mean_token_accuracy': 0.9247400820255279, 'epoch': 0.08}
{'loss': 0.2984, 'grad_norm': 0.2711167633533478, 'learning_rate': 0.00017328767123287673, 'entropy': 0.30021113306283953, 'num_tokens': 49807360.0, 'mean_token_accuracy': 0.9257032632827759, 'epoch': 0.08}
{'loss': 0.3001, 'grad_norm': 0.3057559132575989, 'learning_rate': 0.00017557077625570777, 'entropy': 0.30196073949337005, 'num_tokens': 50462720.0, 'mean_token_accuracy': 0.9251574605703354, 'epoch': 0.08}
{'loss': 0.2991, 'grad_norm': 0.266179621219635, 'learning_rate': 0.0001778538812785388, 'entropy': 0.30038065314292905, 'num_tokens': 51118080.0, 'mean_token_accuracy': 0.925691032409668, 'epoch': 0.08}
{'loss': 0.2957, 'grad_norm': 0.2887565791606903, 'learning_rate': 0.00018013698630136988, 'entropy': 0.29775854349136355, 'num_tokens': 51773440.0, 'mean_token_accuracy': 0.9263805478811264, 'epoch': 0.08}
{'loss': 0.2965, 'grad_norm': 0.28903454542160034, 'learning_rate': 0.00018242009132420092, 'entropy': 0.29774425327777865, 'num_tokens': 52428800.0, 'mean_token_accuracy': 0.9260701894760132, 'epoch': 0.08}
{'loss': 0.2951, 'grad_norm': 0.23298358917236328, 'learning_rate': 0.00018470319634703196, 'entropy': 0.29691987931728364, 'num_tokens': 53084160.0, 'mean_token_accuracy': 0.9263362109661102, 'epoch': 0.08}
{'loss': 0.2948, 'grad_norm': 0.2505437135696411, 'learning_rate': 0.00018698630136986303, 'entropy': 0.2966432601213455, 'num_tokens': 53739520.0, 'mean_token_accuracy': 0.9263239800930023, 'epoch': 0.08}
{'loss': 0.2944, 'grad_norm': 0.3073541522026062, 'learning_rate': 0.0001892694063926941, 'entropy': 0.29604944586753845, 'num_tokens': 54394880.0, 'mean_token_accuracy': 0.9265991747379303, 'epoch': 0.09}
{'loss': 0.2951, 'grad_norm': 0.2386263757944107, 'learning_rate': 0.00019155251141552513, 'entropy': 0.2967040091753006, 'num_tokens': 55050240.0, 'mean_token_accuracy': 0.9263270378112793, 'epoch': 0.09}
